,Modelo,TA,VB
0,ACCESS1-0,0.15, 0.858
1,ACCESS1-3,0.08,0.57
2,bcc-csm1-1,0.2,0.9
3,bcc-csm1-1-m,0.16,0.82
4,CanESM2,0.08,0.591
5,CCSM4,0.15,0.74
6,CMCC-CESM,0.2,0.7
7,CMCC-CM,0.2,0.8
8,CMCC-CMS,0.18,0.9
9,CNRM-CM5,0.08,0.97
10,CSIRO-Mk3-6,0.03,0.5
11,EC-EARTH,0.17,0.73
12,GFDL-CM3,0.06,0.8
13,GFDL-ESM2G,0.08,0.758
14,GFDL-ESM2M,0.09,0.574
15,HadGEM2-CC,0.11,0.609
16,inmcm4,0.11,0.65
17,IPSL-CM5A-LR,0.08,0.459
18,IPSL-CM5A-MR,0.12,0.64
19,IPSL-CM5B-LR,0.20,0.52
20,MIROC5,0.1,0.473
21,MIROC-ESM-CHEM,0.2,0.72
22,MIROC-ESM,0.2,0.71
23,MPI-ESM-LR,0.11,0.729
24,MPI-ESM-MR,0.18,0.9
25,MRI-GCM3,0.1,0.588
26,NorESM1-M,0.12,0.96
