,Modelo,JJA,SON,DJF
0,ACCESS1-0,3.98947,3.98438,3.94802
1,ACCESS1-3,3.88146,3.93683,3.87487
2,bcc-csm1-1,3.87894,3.82602,3.89622
3,bcc-csm1-1-m,3.73764,3.64357,3.68802
4,CanESM2,5.12668,4.9559,4.86494
5,CCSM4,3.65222,3.4983,3.46723
6,CMCC-CESM,3.66019,3.80135,3.99324
7,CMCC-CM,3.95837,4.18669,4.22171
8,CMCC-CMS,4.29232,4.45562,4.45117
9,CNRM-CM5,3.21605,3.35567,3.50654
10,CSIRO-Mk3-6,3.92634,3.89073,3.73086
11,EC-EARTH,3.62875,3.82067,3.80968
12,GFDL-CM3,4.73747,4.50435,4.37072
13,GFDL-ESM2G,3.07393,3.31251,3.18192
14,GFDL-ESM2M,2.9726,3.14065,3.00771
15,HadGEM2-CC,4.31754,4.48234,4.38048
16,inmcm4,2.61712,2.63995,2.73132
17,IPSL-CM5A-LR,4.64013,4.77254,4.67332
18,IPSL-CM5A-MR,4.55964,4.62193,4.52495
19,IPSL-CM5B-LR,3.37281,3.53646,3.35911
20,MIROC5,3.35686,3.36767,3.27796
21,MIROC-ESM-CHEM,5.07258,4.97111,4.75307
22,MIROC-ESM,4.83785,4.69701,4.57821
23,MPI-ESM-LR,3.89929,3.94696,3.941
24,MPI-ESM-MR,3.75944,3.87983,3.8603
25,MRI-GCM3,3.00678,3.19705,3.27105
26,NorESM1-M,3.38263,3.2334,3.12874
