,Modelo,VBh,VBrcp,delay,scaleDelay
0,ACCESS1-0,331,354,23,5.76112
1,ACCESS1-3,332,351,19,4.70406
2,bcc-csm1-1,335,348,13,3.42
3,bcc-csm1-1-m,329,354,25,6.86
4,CCSM4,324,349,25,7.1633
5,CanESM2,330,361,31,6.28417
6,CMCC-CESM,334,352,18,4.79198
7,CMCC-CM,321,333,12,2.89697
8,CMCC-CMS,305,329,24,5.40923
9,CNRM-CM5,342,336,6,1.79
10,CSIRO-Mk3-6,337,362,25,6.33214
11,EC-EARTH,317,328,11,2.94609
12,GFDL-CM3,316,365,35,9.5
13,GFDL-ESM2G,324,343,19,5.74044
14,GFDL-ESM2M,318,343,25,8.07569
15,HadGEM2-CC,323,343,20,4.41867
16,inmcm4,363,365,2,0.74085
17,IPSL-CM5A-LR,322,338,16,3.37219
18,IPSL-CM5A-MR,322,354,32,6.97546
19,IPSL-CM5B-LR,322,332,10,2.88267
20,MIROC5,305,322,17,5.00999
21,MIROC-ESM-CHEM,325,340,15,3.04337
22,MIROC-ESM,325,339,14,2.98152
23,MPI-ESM-LR,318,334,16,4.1361
24,MPI-ESM-MR,315,331,16,4.19658
25,MRI-GCM3,327,337,10,3.12256
26,NorESM1-M,318,343,25,7.75441
